ZipCode,MedianIncome
1612,E: 80-100k
8002,D: 60-80k
8003,F: 100-120k
8004,D: 60-80k
8005,D: 60-80k
8006,D: 60-80k
8007,C: 40-60k
8008,D: 60-80k
8009,D: 60-80k
8010,D: 60-80k
1701,E: 80-100k
8012,D: 60-80k
8014,E: 80-100k
8015,D: 60-80k
8016,D: 60-80k
8019,E: 80-100k
8020,E: 80-100k
8021,C: 40-60k
8022,E: 80-100k
8023,C: 40-60k
8026,E: 80-100k
1702,C: 40-60k
8027,D: 60-80k
8028,D: 60-80k
8029,C: 40-60k
8030,C: 40-60k
8031,C: 40-60k
8033,F: 100-120k
8034,E: 80-100k
8035,E: 80-100k
8036,E: 80-100k
8037,D: 60-80k
1718,G: 120-140k
8039,D: 60-80k
8041,F: 100-120k
8042,E: 80-100k
8043,D: 60-80k
8045,C: 40-60k
8046,D: 60-80k
8048,E: 80-100k
8049,C: 40-60k
8050,D: 60-80k
1719,F: 100-120k
8051,D: 60-80k
8052,C: 40-60k
8053,E: 80-100k
8054,E: 80-100k
8055,F: 100-120k
8056,H: 140-160k
8057,G: 120-140k
8059,D: 60-80k
8060,D: 60-80k
8061,F: 100-120k
